IMU_Map_Downsample,ave_match,ave_solve,ave_ICP,map_incre,ave_total,icp,construct_H
0.001579,0.004238,0.000542,0.002342,0.000738,0.007175,0.0048,9.5e-05
0.002034,0.004227,0.000541,0.002299,0.000231,0.007161,0.004787,9.5e-05
0.001454,0.004211,0.000539,0.00158,0.000175,0.007141,0.00477,9.4e-05
0.001249,0.004195,0.000538,0.001384,0.000105,0.007119,0.004752,9.4e-05
0.001209,0.00418,0.000536,0.001442,0.0001,0.007096,0.004734,9.4e-05
0.001262,0.004167,0.000534,0.001911,0.000105,0.007077,0.00472,9.3e-05
0.001268,0.004157,0.000532,0.002489,0.000111,0.007061,0.004708,9.3e-05
0.001347,0.004147,0.000531,0.002427,0.000121,0.007045,0.004697,9.3e-05
0.001348,0.004137,0.000529,0.002399,0.00016,0.007029,0.004685,9.3e-05
0.001609,0.004129,0.000528,0.003076,0.000228,0.007019,0.004676,9.2e-05
0.002084,0.004124,0.000528,0.003641,0.000306,0.007014,0.004671,9.2e-05
0.001842,0.004121,0.000527,0.004083,0.000329,0.00701,0.004668,9.2e-05
0.001845,0.00412,0.000527,0.004369,0.000432,0.007008,0.004666,9.2e-05
0.001814,0.004119,0.000527,0.004548,0.000437,0.007007,0.004665,9.2e-05
0.001778,0.004119,0.000527,0.004794,0.000614,0.007008,0.004665,9.2e-05
0.001764,0.00412,0.000527,0.004863,0.000473,0.007008,0.004666,9.2e-05
0.001703,0.00412,0.000527,0.004671,0.000458,0.007008,0.004665,9.2e-05
0.001828,0.004121,0.000527,0.005012,0.000559,0.007009,0.004667,9.2e-05
0.001743,0.004125,0.000527,0.005565,0.000767,0.007014,0.004671,9.2e-05
0.001806,0.004128,0.000527,0.005406,0.000489,0.007018,0.004674,9.2e-05
0.00162,0.004129,0.000527,0.004955,0.000602,0.007019,0.004675,9.2e-05
0.001739,0.004133,0.000527,0.005475,0.000567,0.007022,0.004679,9.2e-05
0.001816,0.004135,0.000527,0.005319,0.000614,0.007025,0.004681,9.2e-05
0.001605,0.004139,0.000527,0.00565,0.000507,0.007029,0.004685,9.2e-05
0.001724,0.004141,0.000527,0.005134,0.000734,0.007032,0.004687,9.2e-05
0.001593,0.004143,0.000528,0.005252,0.000768,0.007034,0.004689,9.2e-05
0.001776,0.004144,0.000527,0.004894,0.000554,0.007035,0.00469,9.2e-05
